human-times,dengue-sg-log,population-sg-log,temperature-sg-avg,temperature-sg-max,temperature-sg-min,temperature-sg-hot-days,temperature-sg-max-diff,temperature-sg-min-diff,rainfall-north-avg,rainfall-northeast-avg,rainfall-east-avg,rainfall-west-avg,rainfall-central-avg,rainfall-sg-avg,rainfall-north-max,rainfall-northeast-max,rainfall-east-max,rainfall-west-max,rainfall-central-max,rainfall-sg-max,rainfall-north-min,rainfall-northeast-min,rainfall-east-min,rainfall-west-min,rainfall-central-min,rainfall-sg-min,rainfall-north-rainy-days,rainfall-northeast-rainy-days,rainfall-east-rainy-days,rainfall-west-rainy-days,rainfall-central-rainy-days,rainfall-sg-rainy-days,rainfall-north-consecutive,rainfall-northeast-consecutive,rainfall-east-consecutive,rainfall-west-consecutive,rainfall-central-consecutive,rainfall-sg-consecutive,rel-humidity-avg,abs-humidity-avg,hw-season-repeat,year-mod-8
2004-01-03,3.9889840465642745,15.242626273604214,27.275,27.675,26.650000000000002,0.25,0.1386363636363619,0.6722222222222278,0.10000000000000002,0.18000000000000002,0.225,0.6,0.39999999999999997,0.348,0.3,1.0,1.45,3.6999999999999997,2.5999999999999996,2.128,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.0,1.5,2.0,1.6666666666666667,1.68,1.6666666666666667,0.6,0.75,1.4285714285714286,1.0,1.08,87.15161290322581,22.71811412017194,0.15817897550222515,0
2004-01-10,4.406719247264253,15.242626273604214,27.224999999999998,27.674999999999997,26.3,0.5,0.13863636363635834,0.3222222222222264,2.3000000000000003,2.3,4.1,5.885714285714285,3.033333333333333,3.7679999999999993,10.3,13.160000000000002,21.4,21.342857142857145,11.483333333333333,16.024,0.0,0.0,0.0,0.45714285714285713,0.0,0.128,4.333333333333333,3.4,3.0,6.0,4.333333333333333,4.4,2.6666666666666665,2.0,1.75,5.571428571428571,3.0,3.28,87.03870967741936,22.626212211697897,0.10280246790413172,0
2004-01-17,4.477336814478207,15.242626273604214,27.349999999999998,27.849999999999998,26.4,0.5,0.31363636363635905,0.4222222222222243,1.5333333333333332,4.26,3.475,0.42857142857142855,3.4166666666666665,2.532,7.6000000000000005,26.400000000000006,22.775000000000002,2.7142857142857144,22.96666666666667,16.108000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.0,2.25,1.8571428571428572,2.1666666666666665,2.0,1.0,1.0,1.25,1.1428571428571428,1.3333333333333333,1.16,86.9258064516129,22.7531187046149,0.09903154433355699,0
2004-01-24,4.060443010546419,15.242626273604214,26.325000000000003,27.6,24.45,0.25,0.0636363636363626,-1.527777777777775,30.23333333333333,43.04,50.1,32.971428571428575,38.1,38.62799999999999,121.16666666666667,149.45999999999998,163.14999999999998,126.44285714285715,162.61666666666667,144.96800000000002,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.2,3.0,4.857142857142857,4.5,4.24,2.3333333333333335,2.4,2.0,2.7142857142857144,2.6666666666666665,2.48,86.81290322580645,21.47085377068608,0.08346648624266795,0
2004-01-31,4.406719247264253,15.242626273604214,25.525,27.45,24.150000000000002,0.0,-0.08636363636363953,-1.8277777777777722,15.666666666666666,20.02,17.575,15.928571428571429,17.666666666666668,17.396,54.699999999999996,60.78000000000001,67.8,58.871428571428574,53.333333333333336,58.852,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,5.0,5.0,5.285714285714286,5.0,5.12,5.333333333333333,5.0,5.0,5.285714285714286,5.0,5.12,86.7,20.50808781774387,0.004529699454438374,0
2004-02-07,4.2626798770413155,15.242626273604214,26.95,27.775,25.825000000000003,0.5,-0.14999999999999858,-0.7377941176470557,2.1666666666666665,4.54,3.5,8.22857142857143,6.566666666666666,5.608,8.299999999999999,15.120000000000001,16.599999999999998,28.74285714285714,25.433333333333334,20.828000000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,5.0,3.5,4.142857142857143,4.5,4.36,3.6666666666666665,4.0,2.0,2.142857142857143,3.0,2.88,85.20344827586207,21.815369269669468,0.07221377076648561,0
2004-02-14,4.1588830833596715,15.242626273604214,27.400000000000002,27.699999999999996,27.075,0.5,-0.22500000000000142,0.5122058823529407,0.0,0.0,0.0,0.028571428571428574,0.0,0.008,0.0,0.04,0.0,0.15714285714285717,0.0,0.052000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.42857142857142855,0.0,0.16,0.0,0.2,0.0,0.42857142857142855,0.0,0.16,83.70689655172414,21.97102833262317,0.003005264404059904,0
2004-02-21,4.143134726391533,15.242626273604214,27.375,27.924999999999997,26.875,1.0,0.0,0.31220588235294144,0.0,0.02,0.07500000000000001,0.7857142857142857,0.23333333333333336,0.292,0.13333333333333333,0.13999999999999999,0.5,3.6,1.5333333333333332,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.2,0.75,2.4285714285714284,1.5,1.48,0.6666666666666666,1.0,0.75,2.0,1.3333333333333333,1.28,82.21034482758621,21.548539295194114,-0.04099704530513604,0
2004-02-28,4.04305126783455,15.242626273604214,27.8,28.225,27.450000000000003,3.0,0.30000000000000426,0.8872058823529443,2.0,0.27999999999999997,0.8999999999999999,0.08571428571428573,0.05000000000000001,0.4759999999999999,13.866666666666665,1.8799999999999997,6.324999999999999,0.5428571428571429,0.3833333333333333,3.2960000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,0.5,0.7142857142857143,0.3333333333333333,0.72,1.0,1.0,0.5,0.7142857142857143,0.3333333333333333,0.68,80.71379310344828,21.656640441750135,-0.092553138389873,0
2004-03-06,4.219507705176107,15.242626273604214,27.625,28.099999999999998,26.75,3.0,-0.375,-0.2000000000000064,12.733333333333334,7.959999999999999,3.4,8.257142857142856,6.233333333333333,7.472,46.63333333333333,45.1,19.3,30.62857142857143,27.283333333333335,32.827999999999996,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,4.2,3.25,4.142857142857143,4.5,4.24,5.0,3.0,3.0,2.7142857142857144,3.0,3.16,81.52580645161291,21.66517703796784,-0.11156312209571517,0
